"Tiempo (s) Run #1,""Voltaje (V) Run #1"",""Tiempo (s) Run #2"",""Voltaje (V) Run #2"",""Tiempo (s) Run #3"",""Voltaje (V) Run #3"",""Tiempo (s) Run #4"",""Voltaje (V) Run #4"""
6.550,0.004,13.100,-0.016,,,13.100,0.032
,,13.200,-0.016,,,13.200,0.030
,,13.300,-0.016,,,13.300,0.031
,,13.400,-0.015,,,13.400,0.031
,,13.500,-0.015,,,13.500,0.032
,,13.600,-0.011,,,13.600,0.031
,,13.700,-0.010,,,13.700,0.031
,,13.800,-0.009,,,13.800,0.031
,,13.900,-0.010,,,13.900,0.030
,,14.000,-0.009,,,14.000,0.031
,,14.100,-0.010,,,14.100,0.031
,,14.200,-0.010,,,14.200,0.031
,,14.300,-0.010,,,14.300,0.030
,,14.400,-0.010,,,14.400,0.029
,,14.500,-0.009,,,14.500,0.031
,,14.600,-0.007,,,14.600,0.029
,,14.700,-0.009,,,14.700,0.031
,,14.800,-0.009,,,14.800,0.029
,,14.900,-0.010,,,14.900,0.030
,,15.000,-0.010,,,15.000,0.029
,,15.100,-0.009,,,15.100,0.030
,,15.200,-0.010,,,15.200,0.029
,,15.300,-0.009,,,15.300,0.029
,,15.400,-0.007,,,15.400,0.029
,,15.500,-0.009,,,15.500,0.031
,,15.600,-0.009,,,15.600,0.029
,,15.700,-0.009,,,15.700,0.029
,,15.800,-0.010,,,15.800,0.029
,,15.900,-0.010,,,15.900,0.029
,,16.000,-0.010,,,16.000,0.029
,,16.100,-0.010,,,16.100,0.029
,,16.200,-0.010,,,16.200,0.029
,,16.300,-0.009,,,16.300,0.029
,,16.400,-0.010,,,16.400,0.029
,,16.500,-0.010,,,16.500,0.029
,,16.600,-0.007,,,16.600,0.029
,,16.700,-0.009,,,16.700,0.029
,,16.800,-0.010,,,16.800,0.029
,,16.900,-0.010,,,16.900,0.029
,,17.000,-0.010,,,17.000,0.029
,,17.100,-0.010,,,17.100,0.029
,,17.200,-0.009,,,17.200,0.029
,,17.300,-0.009,,,17.300,0.029
,,17.400,-0.006,,,17.400,0.029
,,17.500,-6.104E-4,,,17.500,0.029
,,17.600,0.000,,,17.600,0.029
,,17.700,0.000,,,17.700,0.029
,,17.800,0.000,,,17.800,0.029
,,17.900,0.000,,,17.900,0.029
,,18.000,0.000,,,18.000,0.029
,,18.100,0.000,,,18.100,0.029
,,18.200,0.000,,,18.200,0.029
,,18.300,6.104E-4,,,18.300,0.029
,,18.400,6.104E-4,,,18.400,0.029
,,18.500,6.104E-4,,,18.500,0.029
,,18.600,0.002,,,18.600,0.029
,,18.700,0.001,,,18.700,0.029
,,18.800,6.104E-4,,,18.800,0.029
,,18.900,0.002,,,18.900,0.029
,,19.000,0.002,,,19.000,0.029
,,19.100,0.002,,,19.100,0.029
,,19.200,0.003,,,19.200,0.029
,,19.300,0.004,,,19.300,0.029
,,19.400,0.005,,,19.400,0.029
,,19.500,0.005,,,19.500,0.029
,,19.600,0.004,,,19.600,0.029
,,19.700,0.005,,,19.700,0.029
,,19.800,0.005,,,19.800,0.029
,,19.900,0.005,,,19.900,0.029
,,20.000,0.005,,,20.000,0.029
,,20.100,0.005,,,20.100,0.029
,,20.200,0.007,,,20.200,0.029
,,20.300,0.006,,,20.300,0.029
,,20.400,0.005,,,20.400,0.029
,,20.500,0.005,,,20.500,0.029
,,20.600,0.005,,,20.600,0.029
,,20.700,0.005,,,20.700,0.029
,,20.800,0.005,,,20.800,0.029
,,20.900,0.005,,,20.900,0.028
,,21.000,0.007,,,21.000,0.029
,,21.100,0.008,,,21.100,0.027
,,21.200,0.007,,,21.200,0.028
,,21.300,0.005,,,21.300,0.029
,,21.400,0.004,,,21.400,0.029
,,21.500,0.004,,,21.500,0.028
,,21.600,0.005,,,21.600,0.029
,,21.700,0.008,,,21.700,0.027
,,21.800,0.010,,,21.800,0.029
,,21.900,0.010,,,21.900,0.027
,,22.000,0.008,,,22.000,0.029
,,22.100,0.008,,,22.100,0.029
,,22.200,0.008,,,22.200,0.028
,,22.300,0.009,,,22.300,0.028
,,22.400,0.010,,,22.400,0.029
,,22.500,0.010,,,22.500,0.028
,,22.600,0.010,,,22.600,0.028
,,22.700,0.010,,,22.700,0.027
,,22.800,0.009,,,22.800,0.027
,,22.900,0.010,,,22.900,0.026
,,23.000,0.010,,,23.000,0.027
,,23.100,0.010,,,23.100,0.027
,,23.200,0.010,,,23.200,0.026
,,23.300,0.009,,,23.300,0.027
,,23.400,0.009,,,23.400,0.027
,,23.500,0.009,,,23.500,0.026
,,23.600,0.010,,,23.600,0.027
,,23.700,0.013,,,23.700,0.027
,,23.800,0.013,,,23.800,0.027
,,23.900,0.013,,,23.900,0.027
,,24.000,0.011,,,24.000,0.026
,,24.100,0.012,,,24.100,0.026
,,24.200,0.010,,,24.200,0.026
,,24.300,0.010,,,24.300,0.027
,,24.400,0.009,,,24.400,0.026
,,24.500,0.009,,,24.500,0.025
,,24.600,0.009,,,24.600,0.026
,,24.700,0.010,,,24.700,0.025
,,24.800,0.011,,,24.800,0.025
,,24.900,0.012,,,24.900,0.025
,,25.000,0.011,,,25.000,0.025
,,25.100,0.010,,,25.100,0.026
,,25.200,0.006,,,25.200,0.025
,,25.300,0.004,,,25.300,0.026
,,25.400,0.005,,,25.400,0.025
,,25.500,0.005,,,25.500,0.024
,,25.600,0.005,,,25.600,0.025
,,25.700,0.004,,,25.700,0.026
,,25.800,0.005,,,25.800,0.025
,,25.900,0.005,,,25.900,0.025
,,26.000,0.005,,,26.000,0.024
,,26.100,0.005,,,26.100,0.024
,,26.200,0.005,,,26.200,0.024
,,26.300,0.005,,,26.300,0.025
,,26.400,0.004,,,26.400,0.024
,,26.500,0.004,,,26.500,0.024
,,26.600,0.004,,,26.600,0.024
,,26.700,0.004,,,26.700,0.024
,,26.800,0.005,,,26.800,0.024
,,26.900,0.005,,,26.900,0.025
,,27.000,0.005,,,27.000,0.024
,,27.100,0.005,,,27.100,0.025
,,27.200,0.005,,,27.200,0.024
,,27.300,0.005,,,27.300,0.024
,,27.400,0.005,,,27.400,0.024
,,27.500,0.005,,,27.500,0.025
,,27.600,0.006,,,27.600,0.024
,,27.700,0.005,,,27.700,0.024
,,27.800,0.005,,,27.800,0.024
,,27.900,0.005,,,27.900,0.024
,,28.000,0.005,,,28.000,0.024
,,28.100,0.005,,,28.100,0.024
,,28.200,0.005,,,28.200,0.024
,,28.300,0.005,,,28.300,0.024
,,28.400,0.005,,,28.400,0.024
,,28.500,0.006,,,28.500,0.024
,,28.600,0.007,,,28.600,0.024
,,28.700,0.006,,,28.700,0.024
,,28.800,0.007,,,28.800,0.024
,,28.900,0.005,,,28.900,0.024
,,29.000,0.005,,,29.000,0.024
,,29.100,0.005,,,29.100,0.024
,,29.200,0.002,,,29.200,0.024
,,29.300,0.000,,,29.300,0.024
,,29.400,0.000,,,29.400,0.024
,,29.500,0.000,,,29.500,0.023
,,29.600,0.000,,,29.600,0.024
,,29.700,-0.001,,,29.700,0.024
,,29.800,-6.104E-4,,,29.800,0.024
,,29.900,-6.104E-4,,,29.900,0.024
,,30.000,-6.104E-4,,,30.000,0.024
,,30.100,-6.104E-4,,,30.100,0.024
,,30.200,-6.104E-4,,,30.200,0.024
,,30.300,-0.003,,,30.300,0.024
,,30.400,-0.004,,,30.400,0.023
,,30.500,-0.003,,,30.500,0.023
,,30.600,-0.005,,,30.600,0.024
,,30.700,-0.004,,,30.700,0.024
,,30.800,-0.003,,,30.800,0.024
,,30.900,-0.004,,,30.900,0.024
,,31.000,-0.004,,,31.000,0.024
,,31.100,-0.003,,,31.100,0.024
,,31.200,-0.004,,,31.200,0.023
,,31.300,-0.006,,,31.300,0.024
,,31.400,-0.007,,,31.400,0.023
,,31.500,-0.007,,,31.500,0.023
,,31.600,-0.005,,,31.600,0.024
,,31.700,-0.007,,,31.700,0.024
,,31.800,-0.008,,,31.800,0.023
,,31.900,-0.009,,,31.900,0.023
,,32.000,-0.009,,,32.000,0.023
,,32.100,-0.009,,,32.100,0.023
,,32.200,-0.009,,,32.200,0.023
,,32.300,-0.010,,,32.300,0.023
,,32.400,-0.009,,,32.400,0.023
,,32.500,-0.010,,,32.500,0.024
,,32.600,-0.010,,,32.600,0.023
,,32.700,-0.010,,,32.700,0.024
,,32.800,-0.009,,,32.800,0.023
,,32.900,-0.010,,,32.900,0.022
,,33.000,-0.010,,,33.000,0.023
,,33.100,-0.010,,,33.100,0.024
,,33.200,-0.010,,,33.200,0.023
,,33.300,-0.010,,,33.300,0.023
,,33.400,-0.010,,,33.400,0.023
,,33.500,-0.010,,,33.500,0.023
,,33.600,-0.010,,,33.600,0.021
,,33.700,-0.010,,,33.700,0.022
,,33.800,-0.010,,,33.800,0.022
,,33.900,-0.010,,,33.900,0.022
,,34.000,-0.010,,,34.000,0.022
,,34.100,-0.010,,,34.100,0.023
,,34.200,-0.009,,,34.200,0.023
,,34.300,-0.009,,,34.300,0.022
,,34.400,-0.009,,,34.400,0.022
,,34.500,-0.009,,,34.500,0.022
,,34.600,-0.009,,,34.600,0.021
,,34.700,-0.009,,,34.700,0.022
,,34.800,-0.010,,,34.800,0.023
,,34.900,-0.011,,,34.900,0.022
,,35.000,-0.012,,,35.000,0.023
,,35.100,-0.011,,,35.100,0.022
,,35.200,-0.010,,,35.200,0.022
,,35.300,-0.010,,,35.300,0.022
,,35.400,-0.009,,,35.400,0.021
,,35.500,-0.007,,,35.500,0.023
,,35.600,-0.008,,,35.600,0.021
,,35.700,-0.009,,,35.700,0.022
,,35.800,-0.010,,,35.800,0.021
,,35.900,-0.010,,,35.900,0.021
,,36.000,-0.012,,,36.000,0.021
,,36.100,-0.013,,,36.100,0.022
,,36.200,-0.012,,,36.200,0.021
,,36.300,-0.012,,,36.300,0.021
,,36.400,-0.012,,,36.400,0.021
,,36.500,-0.011,,,36.500,0.022
,,36.600,-0.010,,,36.600,0.020
,,36.700,-0.010,,,36.700,0.021
,,36.800,-0.011,,,36.800,0.020
,,36.900,-0.012,,,36.900,0.021
,,37.000,-0.012,,,37.000,0.020
,,37.100,-0.013,,,37.100,0.021
,,37.200,-0.015,,,37.200,0.020
,,37.300,-0.015,,,37.300,0.021
,,37.400,-0.015,,,37.400,0.021
,,37.500,-0.015,,,37.500,0.020
,,37.600,-0.015,,,37.600,0.020
,,37.700,-0.012,,,37.700,0.020
,,37.800,-0.013,,,37.800,0.020
,,37.900,-0.012,,,37.900,0.020
,,38.000,-0.014,,,38.000,0.020
,,38.100,-0.014,,,38.100,0.020
,,38.200,-0.014,,,38.200,0.020
,,38.300,-0.013,,,38.300,0.020
,,38.400,-0.014,,,38.400,0.020
,,38.500,-0.012,,,38.500,0.020
,,38.600,-0.012,,,38.600,0.020
,,38.700,-0.012,,,38.700,0.020
,,38.800,-0.013,,,38.800,0.020
,,38.900,-0.014,,,38.900,0.020
,,39.000,-0.015,,,39.000,0.020
,,39.100,-0.015,,,39.100,0.020
,,39.200,-0.016,,,39.200,0.020
,,39.300,-0.016,,,39.300,0.020
,,39.400,-0.017,,,39.400,0.020
,,39.500,-0.019,,,39.500,0.020
,,39.600,-0.018,,,39.600,0.020
,,39.700,-0.018,,,39.700,0.020
,,39.800,-0.016,,,39.800,0.020
,,39.900,-0.015,,,39.900,0.020
,,40.000,-0.015,,,40.000,0.020
,,40.100,-0.014,,,40.100,0.020
,,40.200,-0.013,,,40.200,0.020
,,40.300,-0.012,,,40.300,0.020
,,40.400,-0.012,,,40.400,0.020
,,40.500,-0.011,,,40.500,0.020
,,40.600,-0.012,,,40.600,0.020
,,40.700,-0.014,,,40.700,0.020
,,40.800,-0.015,,,40.800,0.020
,,40.900,-0.015,,,40.900,0.020
,,41.000,-0.016,,,41.000,0.020
,,41.100,-0.015,,,41.100,0.020
,,41.200,-0.015,,,41.200,0.020
,,41.300,-0.015,,,41.300,0.020
,,41.400,-0.013,,,41.400,0.020
,,41.500,-0.010,,,41.500,0.020
,,41.600,-0.010,,,41.600,0.020
,,41.700,-0.010,,,41.700,0.020
,,41.800,-0.010,,,41.800,0.020
,,41.900,-0.009,,,41.900,0.020
,,42.000,-0.010,,,42.000,0.020
,,42.100,-0.010,,,42.100,0.020
,,42.200,-0.010,,,42.200,0.020
,,42.300,-0.009,,,42.300,0.019
,,42.400,-0.009,,,42.400,0.020
